DEPTH,DTCO,ECGR,HART,PEFZ,RHOZ,TNPH,Gelogical layer
M,us/ft,gAPI,ohm.m,B/E,g/cm3,m3/m3,
2874.569,112.709,77.684,0.712,4.238,2.393,0.311,8
2874.721,112.705,78.977,0.739,4.183,2.399,0.307,8
2874.874,113.009,79.589,0.759,4.171,2.399,0.292,8
2875.026,113.594,82.316,0.766,4.221,2.393,0.31,8
2875.178,114.091,84.323,0.717,4.286,2.387,0.306,8
2875.331,114.88,85.988,0.661,4.332,2.382,0.315,8
2875.483,115,87.085,0.619,4.372,2.373,0.313,8
2875.636,114.778,85.556,0.629,4.396,2.367,0.31,8
2875.788,114.104,82.128,0.668,4.402,2.369,0.298,8
2875.94,112.572,77.31,0.747,4.377,2.379,0.282,8
2876.093,111.55,76.327,0.81,4.348,2.388,0.276,8
2876.245,110.892,75.552,0.836,4.329,2.389,0.275,8
2876.398,110.453,79.181,0.836,4.338,2.386,0.277,8
2876.55,110.746,81.184,0.836,4.361,2.381,0.286,8
2876.702,110.9,80.175,0.827,4.347,2.387,0.286,8
2876.855,111.465,78.609,0.823,4.358,2.395,0.284,8
2877.007,111.577,75.959,0.81,4.378,2.409,0.274,8
2877.16,112.281,74.504,0.79,4.429,2.417,0.278,8
2877.312,112.15,73.11,0.771,4.445,2.422,0.278,8
2877.464,111.89,73.759,0.779,4.462,2.411,0.287,8
2877.617,111.789,76.226,0.772,4.461,2.398,0.289,8
2877.769,111.414,77.475,0.781,4.457,2.39,0.295,8
2877.922,111.785,77.437,0.786,4.43,2.396,0.298,8
2878.074,112.875,77.571,0.807,4.448,2.401,0.307,8
2878.226,113.873,82.695,0.794,4.488,2.405,0.309,8
2878.379,115.074,86.899,0.737,4.539,2.407,0.342,8
2878.531,115.428,86.804,0.681,4.583,2.402,0.34,8
2878.684,114.438,84.985,0.642,4.597,2.394,0.326,8
2878.836,113.274,82.681,0.677,4.584,2.386,0.296,8
2878.988,112.842,82.521,0.715,4.525,2.39,0.284,8
2879.141,112.212,82.806,0.751,4.483,2.399,0.288,8
2879.293,111.351,78.344,0.746,4.466,2.408,0.289,8
2879.446,111.026,77.625,0.729,4.435,2.413,0.293,8
2879.598,110.808,75.663,0.726,4.35,2.415,0.277,8
2879.75,110.866,74.155,0.765,4.271,2.414,0.264,8
2879.903,111.474,75.624,0.818,4.278,2.412,0.251,8
2880.055,111.921,79.344,0.823,4.372,2.412,0.259,8
2880.208,112.58,83.084,0.784,4.47,2.414,0.283,8
2880.36,113.493,85.639,0.724,4.487,2.414,0.289,8
2880.512,114.706,86.063,0.716,4.42,2.406,0.29,8
2880.665,114.934,83.557,0.717,4.341,2.394,0.294,8
2880.817,115.035,84.073,0.717,4.288,2.386,0.298,8
2880.97,114.689,81.8,0.694,4.257,2.386,0.288,8
2881.122,114.434,81.956,0.699,4.216,2.394,0.28,8
